,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 22 (Cell cycle),Benjamini-Hochberg adjusted regression p of GEP 22 vs r hsc,Bonferroni adjusted regression p of GEP 22 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 22 vs r prog,Bonferroni adjusted regression p of GEP 22 vs r prog
143,PABPC1,-0.0636286180174299,9.174492071304045e-07,0.0258878322992224,2.3162699807151605e-05,-0.001920558,0.999775974942421,1.0,0.9831285273395207,1.0
144,PLK4,0.0554079626939705,4.776679751571679e-05,0.1777510002005577,5.378896229631874e-224,0.002408544,0.999775974942421,1.0,0.9895748851625324,1.0
145,PNISR,-0.0445476704466924,0.004180029933290835,0.0342110600978383,7.510975978748239e-09,-0.001130532,0.999775974942421,1.0,0.9831285273395207,1.0
146,PNRC1,-0.0449745683065541,0.00358702581937456,0.0574817733682244,1.0851390267729057e-23,-0.000807141,0.999775974942421,1.0,0.9831285273395207,1.0
147,PPP1R15A,-0.05710116999959,2.2880283717839134e-05,0.0204814552798096,0.0013045750819677107,-7.74e-05,0.999775974942421,1.0,0.9831285273395207,1.0
148,RACK1,-0.0519172856895656,0.0002296024941589692,0.0337987358709064,1.1787573218036879e-08,-0.001508723,0.999775974942421,1.0,0.9831285273395207,1.0
149,RAD21,0.1324442162270902,6.628996756737532e-33,0.3749893982781743,0.0,0.005096031,0.999775974942421,1.0,0.9831285273395207,1.0
150,RP11.159H22.2,-0.044004855771379,0.005107520150240913,-0.0588930901427481,7.8342839257065145e-25,-0.000424127,0.999775974942421,1.0,0.5737223777982486,1.0
151,RP11.15H20.7,0.0605090682729737,4.399805083859304e-06,0.0147618222121104,0.03243787252842067,0.000275324,0.3821702815055754,1.0,0.9831285273395207,1.0
152,RP11.1I2.1,-0.0387974701114122,0.02863691191292887,-0.0144985346680737,0.036544627706511935,3.43e-05,0.999775974942421,1.0,0.7162626459684563,1.0
153,RP11.35L17.3,-0.0384481125784381,0.031651294142676534,-0.0477252692458455,1.5053896384325294e-16,-0.000423966,0.999775974942421,1.0,0.5971422544291973,1.0
154,RP11.44N21.1,0.0969286040731893,5.58628597356021e-17,0.0174088366080076,0.008447057448879657,0.000340843,0.0555279693977843,0.33316781638670584,0.9831285273395207,1.0
155,RP11.458F8.4,0.0464889737019823,0.0020259675494824175,0.1726709881216158,3.321364075440106e-211,0.00297566,0.999775974942421,1.0,0.9831285273395207,1.0
156,RP11.57C13.3,0.0449412027905498,0.0036209617447626858,0.0255205895238246,3.138801387412248e-05,-0.000151709,0.48428109806200026,1.0,0.9831285273395207,1.0
157,RPL10,-0.0683405822478295,6.651043609658879e-08,0.0835987922007221,2.2227958175807738e-49,-0.001781073,0.999775974942421,1.0,0.7162626459684563,1.0
158,RPL10A,-0.0452122324693711,0.003287561902875828,0.0802741482007274,1.4183632401208165e-45,-0.000537816,0.999775974942421,1.0,0.9831285273395207,1.0
159,RPL11,-0.0575567611735504,1.8306985898514548e-05,0.0603634016387414,4.70239162938416e-26,-0.001343583,0.999775974942421,1.0,0.9831285273395207,1.0
160,RPL12,-0.0572964146023962,2.0830131287089563e-05,0.0718144326654054,1.3623064167602583e-36,-0.0002945,0.999775974942421,1.0,0.9831285273395207,1.0
161,RPL13,-0.0647430195136027,5.144332830068106e-07,0.0398311746651599,9.575382923776172e-12,-0.000970004,0.999775974942421,1.0,0.9831285273395207,1.0
