,gene,r hsc,p adjusted hsc,r prog,p adjusted prog,GEP 15 (DNA Replication),Benjamini-Hochberg adjusted regression p of GEP 15 vs r hsc,Bonferroni adjusted regression p of GEP 15 vs r hsc,Benjamini-Hochberg adjusted regression p of GEP 15 vs r prog,Bonferroni adjusted regression p of GEP 15 vs r prog
121,AC005154.6,-0.0575909146271117,4.1180899844297165e-07,-0.0217594918778398,0.00024099383361885266,-0.000402736,0.9999771431101689,1.0,0.9999471363027878,1.0
122,AC005235.1,-0.0390927417238799,0.0009331828948012497,-0.0277480251017747,2.133212948137983e-06,-0.000158565,0.9999771431101689,1.0,0.9999471363027878,1.0
123,AC005253.4,-0.0453420425892987,9.726194350320281e-05,-0.0317447875671221,4.776408112754767e-08,-0.000148659,0.9999771431101689,1.0,0.9999471363027878,1.0
124,AC005264.2,-0.036521423472648,0.002141274172895091,-0.0175064394851464,0.003474122454056141,-0.000156185,0.9999771431101689,1.0,0.9999471363027878,1.0
125,AC005276.1,-0.049045920113681,2.162029595753594e-05,-0.016749844791113,0.005251177849180728,-0.000119021,0.9999771431101689,1.0,0.9999471363027878,1.0
126,AC005281.1,-0.0325895419516477,0.006801483271976128,-0.0164225932437313,0.006255755992052227,-0.000155609,0.9999771431101689,1.0,0.9999471363027878,1.0
127,AC005281.2,-0.02628608269389,0.032779303345707334,-0.0248368542303632,2.4513259125902224e-05,-0.000117498,0.9999771431101689,1.0,0.9999471363027878,1.0
128,AC005301.8,-0.0303028518747847,0.01247331672681362,-0.0151380542812336,0.012004806681286189,-6.56e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
129,AC005477.1,-0.0356548699609666,0.002796846890292248,-0.0230219565228993,9.789778205290159e-05,-0.000156304,0.9999771431101689,1.0,0.9999471363027878,1.0
130,AC005480.1,-0.0477339195966516,3.747603202468976e-05,0.0371035858223934,1.293285600587199e-10,-0.000142364,0.9999771431101689,1.0,0.9999471363027878,1.0
131,AC005481.5,-0.0351872532902068,0.003218637897151247,-0.0212683040912587,0.0003372184511548388,-0.000107246,0.9999771431101689,1.0,0.9999471363027878,1.0
132,AC005498.3,-0.0347997578992089,0.00361156794267927,-0.0218300332338517,0.00022932953381197958,-0.000124263,0.9999771431101689,1.0,0.9999471363027878,1.0
133,AC005523.2,-0.0393224641243964,0.000864380100632042,-0.0287465204046931,8.685463098193998e-07,-0.000101024,0.9999771431101689,1.0,0.9999471363027878,1.0
134,AC005523.3,-0.0254357231743095,0.03946373584390559,-0.0193920965897723,0.0011419551141573737,-0.000112843,0.9999771431101689,1.0,0.9999471363027878,1.0
135,AC005532.5,-0.0282544783286176,0.020770393212149622,-0.0159423749827833,0.008026488932843794,-5.64e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
136,AC005537.2,-0.0414647222260915,0.0004133801951187229,-0.0297387737393307,3.423656720640833e-07,-0.000160365,0.9999771431101689,1.0,0.9999471363027878,1.0
137,AC005550.3,-0.0322816646196475,0.007391890061091627,-0.0205330662211711,0.0005513193368903649,-7.73e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
138,AC005578.3,-0.0295776287433593,0.015015368578230864,-0.0165794684347484,0.0057520860149072525,-0.000135453,0.9999771431101689,1.0,0.9999471363027878,1.0
139,AC005606.14,-0.0282790290564413,0.02064239389542058,-0.0192695915890192,0.001231765066154788,-0.000111855,0.9999771431101689,1.0,0.9999471363027878,1.0
140,AC005614.3,-0.026154122692123,0.03372832836992694,-0.0161250916920995,0.007310640107137538,-0.00018483,0.9999771431101689,1.0,0.9999471363027878,1.0
141,AC005616.1,-0.0362182804739571,0.0023497287413626797,-0.017607677824041,0.0032842748576710134,-0.000100322,0.9999771431101689,1.0,0.9999471363027878,1.0
142,AC005616.2,0.0424826911964245,0.00028683066169740294,0.0836699613127969,5.313972719296386e-50,-0.000444649,0.15183191743602584,1.0,0.17701140373580668,1.0
143,AC005618.6,-0.0284623605700605,0.019750706666493784,-0.0317447216235421,4.776408112754767e-08,-0.000176478,0.9999771431101689,1.0,0.9999471363027878,1.0
144,AC005703.3,-0.0508172072847068,1.002457376897472e-05,-0.0381991908140482,3.454820343115263e-11,-0.000257644,0.9999771431101689,1.0,0.9999471363027878,1.0
145,AC005740.6,-0.0247103476818451,0.045984378290030416,-0.0168125790779295,0.005076464094712637,-6.27e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
146,AC005754.8,-0.0416983931080128,0.000380117971947192,-0.0245593724623561,3.051442773344906e-05,-0.00012975,0.9999771431101689,1.0,0.9999471363027878,1.0
147,AC005780.1,-0.0314993081675335,0.009136359564475718,-0.0158113115299859,0.008586298773640193,-6.99e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
148,AC005786.6,-0.0267660595085742,0.029408678237049492,-0.0154250134083046,0.010418017678522367,-0.000206952,0.9999771431101689,1.0,0.9999471363027878,1.0
149,AC006019.3,-0.0281143949087797,0.02147614002526631,-0.0186111539605705,0.0018358364353150223,-0.000155355,0.9999771431101689,1.0,0.9999471363027878,1.0
150,AC006042.7,-0.0280171041538213,0.022003486028522652,-0.0144942306587126,0.01636532083323913,-0.000107044,0.9999771431101689,1.0,0.9999471363027878,1.0
151,AC006116.20,-0.0340202068785825,0.004551435978823757,-0.0217812598289257,0.00023738328665970292,-8.95e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
152,AC006128.2,-0.037479952177618,0.001580648639120274,-0.0197936876717781,0.0008874313117056593,-0.000142981,0.9999771431101689,1.0,0.9999471363027878,1.0
153,AC006129.1,-0.0274225452772049,0.025280587160848886,-0.0147002229136642,0.014849595172857426,-4.46e-05,0.9999771431101689,1.0,0.9999471363027878,1.0
154,AC006129.2,-0.0457029086065597,8.423948436193788e-05,-0.0318373964038263,4.347025815864028e-08,-0.000245271,0.9999771431101689,1.0,0.9999471363027878,1.0
155,AC006129.3,-0.0570285513495968,5.451248583008676e-07,-0.0315780607603658,5.651228528945195e-08,-0.000283913,0.9999771431101689,1.0,0.9999471363027878,1.0
156,AC006145.4,-0.0295515861991592,0.015114879192945244,-0.0259289912425756,1.0153932829136534e-05,-0.00011994,0.9999771431101689,1.0,0.9999471363027878,1.0
157,AC006262.6,-0.0448111076695134,0.0001196854654594299,-0.027692775847147,2.2409243071693365e-06,-0.000138178,0.9999771431101689,1.0,0.9999471363027878,1.0
158,AC006277.3,-0.0673883729833734,1.909895889699336e-09,-0.0341970143457992,3.5976346746648615e-09,-0.000245983,0.9999771431101689,1.0,0.9999471363027878,1.0
159,AC006369.2,-0.0345729289014377,0.0038649864950315773,-0.0191753585247499,0.0013046605182486985,-0.000227679,0.9999771431101689,1.0,0.9999471363027878,1.0
160,AC006547.13,-0.0468351556621004,5.372942496587569e-05,-0.0256357942327366,1.2896320042203911e-05,-0.000207196,0.9999771431101689,1.0,0.9999471363027878,1.0
